UniqueCount	AmbigCount
906	0
73	4124
17	4199
13	4106
4	4199
22	0
682	0
0	770
754	770
197	0
0	1108
0	1108
0	0
14	0
26	0
32	0
87	0
0	0
0	4
0	4
0	2
5	0
20	0
1	1
0	1
0	281
0	281
166	0
0	5
0	5
12	0
155	836
0	837
0	412
4	24
2	24
819	0
129	0
9	126
0	90
0	121
0	117
2	112
81	0
37	0
200	0
26	56
0	56
0	0
0	34
0	34
38	0
427	0
26	0
148	0
9	0
5	284
0	283
0	283
0	258
0	257
0	1485
0	1539
0	1434
0	1436
0	1506
0	1508
0	1539
0	1454
0	1382
0	1485
0	1413
0	1508
0	1436
0	1467
0	1454
0	1382
0	1413
0	1467
0	71
0	71
15	0
151	0
11	96
1	96
451	1322
48	1985
73	1985
4475	1345
0	1345
2	1181
1	1181
0	973
0	1002
0	1002
0	567
0	0
5	0
16589	0
13039	0
0	7125
13	7125
20	19611
24	19611
192	0
196	0
134	0
16890	0
0	2067
1	2071
0	1017
0	719
208	0
2477	0
0	1
0	1
0	53
1	53
317	0
9	0
0	65
0	65
0	68
0	68
77	0
19	89
0	89
0	84
1	79
10	45
0	45
454	0
42	1281
0	1281
26	1217
10	1224
4	1224
77	992
0	992
289	41
0	975
1	975
171	0
0	2013
7	2013
189	0
272	0
0	823
0	685
21	765
0	420
388	1046
0	1046
1	1175
0	1175
14	1087
7	360
0	360
354	0
0	791
0	791
3	0
3	682
1	682
95	809
10	809
553	0
0	925
0	920
13	961
0	436
0	431
0	183
17	183
1101	0
0	945
0	945
2	914
0	636
0	538
0	429
130	0
9	640
0	640
232	0
35	159
0	159
3	0
210	0
0	1197
15	1169
75	1077
21	1123
32	2698
42	2698
0	172
0	179
0	175
3	486
0	270
0	494
0	490
0	488
0	397
0	401
0	399
0	405
1	118
21	118
2294	0
1027	0
1	2639
4	2639
12	1478
1870	0
956	0
759	0
89	359
3	359
406	0
7	170
0	170
0	6696
0	6697
0	6834
0	6835
0	6228
0	433
6	6639
1030	0
145	0
78	1119
0	1119
325	0
0	2402
6	2402
0	1110
0	2797
28	2758
0	2474
33	2782
34	2695
0	2362
0	2362
0	2341
0	2341
9276	0
0	0
2934	9131
0	9131
294	0
582	951
55	951
0	0
0	24
0	24
0	3
533	0
144	0
0	0
0	0
2	0
0	25
1	25
0	25
15	0
1077	0
241	1187
73	1110
0	1173
0	658
117	1804
12	1865
0	1865
0	1763
0	370
0	1767
0	1585
0	1451
1745	5617
0	5617
67	0
57	110
0	110
1685	0
275	247
0	247
0	174
0	87
905	0
2	0
2138	145405
810	6290
3433	0
0	0
23519	118553
21	39260
0	39260
2321	32395
95	19479
0	19479
0	28051
0	28051
11769	0
14976	0
227	0
1187	0
0	0
0	2
0	2
0	2
0	0
35080	0
18447	0
11	0
2507	0
15	0
1	1
0	6
0	6
846	0
73	198
0	198
10128	0
14740	0
0	0
0	0
0	0
52	0
676	0
2	0
10	0
1210	0
5652	0
199	0
869	6290
20295	0
19	0
3521	1
206	0
125	0
229	416
32018	0
0	1
0	1
47401	9380
0	0
33	0
1092	0
27706	0
1	0
2691	0
10743	0
15925	0
15	13
3	0
2	0
0	7
0	7
2	0
252	5947
0	5947
562	0
5753	0
2734	0
5188	39598
22384	20554
3062	41906
126	0
288	0
269	20268
0	20268
13904	0
0	659
2	644
0	638
0	669
0	637
0	647
0	648
0	616
0	626
0	634
0	613
0	644
0	623
0	612
0	591
0	622
0	601
4	1694
0	1694
0	0
12580	0
14679	0
25	0
8810	0
19388	0
4	0
10993	0
3899	0
622	1824
0	1824
128	1300
51	1300
0	0
965	0
1	0
2678	145405
501	2024
0	2024
7810	0
5894	0
6	0
18169	0
9	0
0	19820
32	19820
43127	8857
1428	0
1167	0
1416	18216
0	18216
0	18167
10712	0
334	0
10	0
13430	0
11	36
0	36
605	0
31895	0
16977	0
18091	0
323	0
6304	2
1961	2
20525	121129
7888	7462
5730	9894
16663	9894
8	0
12826	0
1088	0
8	0
243	0
410	0
4373	7535
3137	7238
2514	0
3797	422
52	0
15732	6123
20	31342
0	31343
3	31419
11719	5914
7997	5914
0	0
1	0
1	0
38	93940
0	93888
0	93940
0	98602
110	98602
7389	71976
11140	29769
3822	56785
1	0
62	264
0	264
0	217
1579	0
459	0
18170	0
10635	0
64	0
7491	4528
2169	4528
9017	15
23	14442
0	14442
1113	0
2	0
2	9781
62	9781
0	9780
0	1
13	283
0	283
9	0
1623	0
113	691
69	691
0	782
1	782
0	342
0	452
456	0
1941	0
1340	0
3240	0
62	1416
10	1196
0	1469
0	1469
0	1067
1356	0
830	0
2560	0
0	1452
4	1452
0	1274
2	1274
386	0
64	40308
0	35954
0	34271
0	3867
21	3870
8	3870
0	839
0	839
0	474
16539	0
2415	0
19489	0
0	0
788	0
27868	0
38731	0
130	21923
0	21897
1	20429
2038	0
9	9779
0	7055
0	9744
0	6883
9022	0
769	0
2	711
11	666
13	695
18	697
0	708
4	545
47	639
0	1623
0	1623
510	0
2969	0
142	0
553	0
0	490
9	490
0	518
1	518
0	6249
15	6077
0	6248
0	6239
0	6249
0	88746
46	88746
226	0
921	0
0	1483
0	1497
27	1550
0	1527
1780	0
4	2254
0	2254
1688	0
1422	0
1660	0
72	1390
20	1390
8	3
0	3
0	0
2	46
0	30
0	46
0	8
0	5
12519	0
14434	0
0	3290
0	3307
0	4499
0	4516
0	983
0	954
91	769
0	1052
0	1030
34723	0
176	2532
0	2532
2183	0
2758	0
0	3665
0	3572
1	3572
0	3247
0	3154
0	4455
9	4455
0	4543
36	4121
0	1635
0	774
1868	0
1656	0
20	296
0	296
5	3404
2	3404
203	0
0	738
0	738
0	701
0	701
2	645
0	737
0	737
0	714
0	714
3	0
0	141
0	141
18	1103
0	1104
0	1095
78	350
0	350
384	0
0	0
1	0
1	0
50	0
975	0
10	10
0	3601
0	3622
23	3622
0	3601
537	263
0	1135
0	1135
5	3287
0	3287
2	3190
15474	0
0	291
8	291
66	1422
14	1422
0	1334
34	1334
61	2716
6	2716
0	3075
1	3075
0	1986
0	1986
53	1768
7075	0
1185	0
10837	20
1167	0
0	27433
123	27433
0	8236
