"","cg1","cg2","cg3","cl1","cl2","cl3","cw1","cw2","cw3","sg1","sg2","sg3","sl1","sl2","sl3","sw1","sw2","sw3"
"WBGene00016407",17.642419,19.985803,9.273024,14.971107,11.737344,4.077225,7.281247,5.273054,1.279233,6.792177,2.488519,2.882881,4.526527,11.249749,6.368006,9.174876,8.444078,5.683923
"WBGene00016408",16.115693,13.96777,15.571487,21.573593,20.243396,12.32084,17.191693,12.868908,8.883153,11.546973,38.970836,6.741307,13.313159,8.369767,10.302857,11.670385,16.930117,0.658135
"WBGene00016409",4.864647,4.299149,3.063815,6.571575,8.118177,2.50715,3.789742,3.349367,2.025214,1.730499,0,2.068529,8.594484,2.672728,2.239058,4.767815,20.205149,1.606058
"WBGene00016410",3.158075,2.544762,2.989968,4.682659,4.705364,2.573857,3.698705,3.224541,4.31136,0,0,1.248805,1.070967,0,4.981369,0,3.626245,0
"WBGene00016411",18.541899,16.517594,21.501031,20.53956,19.70358,18.359987,18.068733,14.811952,15.699198,28.093346,0,4.80211,9.684941,0.916635,4.286292,10.099832,17.01685,3.474119
"WBGene00016412",39.3788,36.174218,40.958243,47.689047,37.123699,39.16623,40.266626,28.670128,27.034148,15.743948,1.887992,21.799495,20.775597,5.35138,13.104293,18.342997,25.401111,23.897813
"WBGene00016413",1.168635,1.071162,0.73448,3.174179,3.08946,0.641201,2.118216,2.662507,1.356839,0.93691,0,0.732623,2.3968,0,5.035788,1.717802,5.488616,0
"WBGene00016414",8.703651,10.080993,9.93232,21.658439,25.633906,6.319106,22.163147,20.130974,10.891702,0.389008,0,38.3986,21.592777,10.450107,92.106654,12.045779,65.746289,11.91203
"WBGene00016415",53.170438,47.033854,47.962397,56.06918,55.945282,30.913474,42.011957,37.475249,17.913346,11.262048,38.890792,9.640175,26.072682,9.511742,14.452639,22.054677,26.42616,0
"WBGene00016416",2.969547,3.079152,3.539612,5.741997,7.971365,2.160722,4.256481,3.832947,2.893298,0.099341,0,1.362422,3.920848,0.03639,2.105092,0.927558,4.372831,0.012771
"WBGene00016417",8.94707,8.402804,3.670299,8.830361,6.991008,8.055253,4.835827,1.728877,3.099574,0.625933,0,16.810313,7.51872,16.124379,1.152625,3.109713,6.899975,13.465352
"WBGene00016418",6.87266,6.247773,4.51613,10.625108,10.336772,2.915942,6.278555,5.930574,1.279075,0.694863,0.008725,2.155298,7.049889,6.153764,3.374867,4.654271,13.087409,0.276816
"WBGene00016419",33.758099,32.195475,23.192362,41.512074,32.35547,20.027333,29.817387,17.720117,5.75018,7.524218,0.063384,4.685331,1.873672,2.280882,1.701121,3.36565,2.506208,6.531779
"WBGene00016420",11.372056,9.927177,14.834982,20.296852,22.048932,13.825854,19.594582,15.895866,16.242377,11.336114,0,35.724152,20.949886,2.827333,39.803346,3.655711,30.513191,0
"WBGene00016421",3.933115,3.183691,3.946003,7.011538,7.620845,4.068603,4.740315,3.147171,1.575833,8.974131,0,2.548947,3.818384,0.677196,1.001868,2.867446,15.872439,1.342878
"WBGene00016422",97.306087,80.191771,92.757446,96.317537,77.611682,60.404018,58.972361,49.112406,11.440691,7.316499,59.691889,32.756214,10.637974,2.747799,3.346855,6.281514,1.026523,15.380193
"WBGene00016423",3.856496,3.355096,3.090861,3.676226,3.011174,1.484019,1.832436,1.864736,0.768203,0.239559,0,1.976273,2.21939,4.049273,1.687201,1.877164,1.441461,5.804645
"WBGene00016424",6.034884,6.602345,5.710785,7.841683,6.516428,3.136196,5.635883,3.221542,2.575881,0.139937,0,14.698563,7.453914,4.088428,4.336956,5.646965,7.526261,0
"WBGene00016425",19.424864,19.548489,14.927301,22.027416,18.95472,13.004029,16.271094,12.589287,4.132368,0.688378,184.66106,35.078623,23.171277,4.229894,5.070463,47.702892,68.021579,27.073945
"WBGene00016427",1.892759,1.642832,1.770218,1.642593,1.995853,1.13571,1.267506,1.628489,1.192972,0,0,1.700013,3.233384,0,2.566921,5.528225,2.894268,0
"WBGene00016428",1.828725,1.759272,2.410751,1.976513,1.341562,1.666409,1.238678,1.005554,1.345334,6.417275,116.257561,0.829802,13.877884,36.100905,15.897183,9.599427,15.073313,0.606636
"WBGene00016429",4.139103,3.513515,4.390316,5.607481,3.947589,2.566499,3.849947,3.349186,2.235451,1.131641,0,15.149961,4.528525,1.319768,3.390942,2.832808,2.463597,0
"WBGene00016430",0,0.032711,0,0.07296,0.065388,0.047264,0,0.024746,0,0,0,0,0,0.398273,0,0,0,0.013241
"WBGene00016431",7.569667,7.184355,5.882913,9.711325,6.602616,6.170576,5.285481,3.769114,2.014488,4.649714,0,3.444953,4.607154,0.099774,0.353367,7.859296,3.826632,6.185472
"WBGene00016432",8.670812,8.575877,8.63273,10.611429,10.225082,6.97798,6.902991,5.583932,6.011922,8.133162,42.434058,3.48676,6.6314,2.290312,2.530697,6.372278,9.930005,3.240698
"WBGene00016433",0,3.041881,0,0,1.52015,3.296421,1.403571,0,0,0,0,0.728175,0,4.873219,0,0,1.057227,0
"WBGene00016434",17.22902,7.450038,8.708829,45.403921,83.376102,2.729052,76.788356,46.19863,2.06018,0,0,59.380162,24.345599,5.312035,28.934696,1.402288,241.863797,0
"WBGene00016435",353.664942,332.789903,451.987404,335.155472,306.301291,515.87255,338.862419,325.783996,598.64339,135.903496,257.490072,47.825646,79.564798,18.936085,40.457282,95.07941,65.824118,67.172214
"WBGene00016436",3.734712,4.762723,3.486845,2.940292,3.230168,1.781864,5.337012,2.959587,1.562099,0,0,0.488621,0.248994,0.218002,0,4.591827,2.601214,0
"WBGene00016437",0.53193,0.238806,0.716389,0.088774,0.079561,0.402561,0.073459,0.240874,0.050416,0,0,0,0,0,0,0,0.497993,0
"WBGene00016438",7.232828,8.542014,6.1765,7.273967,5.83953,6.334554,5.052808,3.421016,4.094357,0.142152,0,3.392441,5.129716,3.238145,2.99515,3.021812,3.355313,0.004699
"WBGene00016439",41.833176,38.916625,48.699728,50.481418,44.022867,53.334731,46.896585,36.710811,19.096936,20.079375,0.018663,27.739352,35.426928,29.102794,28.678388,26.859273,41.901268,20.258305
"WBGene00016440",37.970381,41.453463,56.883631,77.930836,97.527572,36.885225,66.721899,64.747331,31.514198,3.329199,0,56.01923,74.040297,4.334953,101.836334,18.820681,155.222797,3.144497
"WBGene00016441",1.938136,2.361735,2.485931,4.112517,3.727117,1.706241,4.28249,2.789666,2.1781,0.072482,0,12.556937,8.218388,0.637237,9.685811,2.392087,16.73357,14.071782
"WBGene00016442",20.656772,17.021741,18.416181,24.245087,18.128497,17.007428,15.427263,11.763807,13.849436,3.261684,7.776906,5.35604,11.994303,0.568962,6.18917,11.16036,11.461752,0
"WBGene00016443",28.116864,24.937945,27.389315,32.284688,30.927145,27.753324,28.449594,21.899847,19.655939,16.018492,0,12.367429,16.038018,13.615863,22.16072,11.088614,30.526953,0.009278
"WBGene00016444",7.175119,6.815982,9.233457,10.602826,11.033311,6.694729,10.1064,7.15089,4.677217,5.04504,54.218906,2.544985,9.555056,3.736812,1.70638,6.134975,14.125783,0.013627
"WBGene00016445",5.015552,4.326791,6.754804,8.961334,7.457629,6.2518,7.293145,5.377391,6.179814,0.270322,0.033093,14.183586,10.857757,0.198048,0.851729,5.357505,8.838702,16.10258
"WBGene00016446",27.428667,29.263716,31.4317,37.893776,31.438832,35.630542,29.967476,20.781446,13.529094,11.984827,0,7.365574,21.807412,5.900992,4.571744,16.187546,19.418405,1.03941
"WBGene00016447",64.508658,67.229343,67.14007,152.456951,180.077574,41.453058,209.48907,148.392204,74.15867,50.907679,0,55.953444,35.699443,2.572053,258.346857,10.16246,212.115045,0.035007
"WBGene00016448",1.367073,1.573493,0.6718,1.281591,0.971878,0.651409,0.995237,0.722228,0.380712,2.056693,0.013252,0.194682,2.342148,1.982652,4.995587,4.640375,3.379587,0
"WBGene00016449",28.814573,21.385946,26.872844,36.81948,40.616539,29.169966,42.686791,29.457131,30.758504,4.381148,0,7.006643,3.474838,0.41867,3.311573,3.399357,13.745452,0
"WBGene00016450",32.503239,27.232678,14.872371,33.35478,26.701347,22.483403,21.911307,17.279659,7.135083,2.043153,0,184.876192,19.109638,1.184253,2.248112,21.354184,28.178921,9.497483
"WBGene00016451",0.126702,0.149315,0.03318,0.277533,0.298476,0.203761,0.122482,0.112956,0.042031,0,0,0.07944,0.109286,0,0,0.008869,0,0
"WBGene00016452",123.827933,128.832529,135.53031,121.887832,101.246492,169.379498,121.737478,82.79196,157.811595,194.790704,0,66.674231,52.254447,33.512714,34.007022,58.895771,37.679792,24.201998
"WBGene00016454",1.271136,1.143484,0.744738,1.099055,0.969953,0.25614,0.742835,0.70569,0.285424,1.500253,0,0.060758,9.239241,2.752684,4.444895,1.966493,3.50733,0.003045
"WBGene00016455",0.012541,0,0.013137,0.029303,0.052523,0,0.024248,0.029816,0,0,0,0,0.94233,4.78187,1.431197,0.807626,0.73057,2.807893
"WBGene00016456",1.549053,1.808618,1.140902,1.310115,1.25017,0.891446,0.670739,0.741646,0.519216,0.813146,0,0.31561,1.063953,4.088967,0.882335,1.341796,1.310069,0.020527
"WBGene00016457",0.134024,0.021737,0.18693,0.116359,0.269398,0.043971,0.04513,0.233503,0.024781,0.004745,0,0,0.295919,0.221868,0,0.904013,0,0.988934
"WBGene00016458",3.909616,4.513903,4.121988,4.567342,3.176777,3.775649,2.374456,2.222615,1.714199,0.054511,0.086754,0,0.026065,0.074169,0,0,0.018566,0.028831
"WBGene00016459",0.176297,0.369354,0.277004,0.720846,0.369162,0.13342,0.426064,0.209561,0.175448,0,0,0,1.148928,0,0,1.727618,0.577672,0.037378
"WBGene00016460",6.487312,5.43345,7.155482,10.023592,8.73288,7.02492,7.716153,6.404742,7.011377,3.468978,0,2.391337,4.291093,1.384694,4.293393,1.971333,5.08894,1.077509
"WBGene00016461",6.725121,5.293544,6.925093,8.699863,14.002701,4.399421,8.980401,5.826152,5.293678,1.932106,0,6.231123,12.875917,4.284871,19.217944,3.744591,21.987605,0.0725
"WBGene00016463",4.109105,5.257045,4.657049,3.73801,3.138482,2.752887,2.767556,2.482243,2.815589,18.361809,0,0.388514,14.073851,24.079012,18.41729,10.788184,13.43978,19.180604
"WBGene00016464",0.041956,0.043951,0,0,0.029285,0.010584,0.067599,0.055414,0,0,0,0,0,0.45063,0,0.031326,0,0
"WBGene00016465",0.054799,0.071755,0,0.032009,0.028687,0,0,0.010856,0,0,0,0,0,0,0.097712,0.007671,0.229439,2.172626
"WBGene00016466",0.47937,1.25539,0.502134,0.840023,1.00379,0.181392,1.853619,0.569817,0.7951,2.635317,0,2.404154,2.940286,33.948818,3.419025,1.073731,0.174528,44.007563
"WBGene00016467",0.639614,1.41886,1.142922,0.615356,0.393923,1.025059,0.581941,0.178893,0.349469,0,0,0.150956,0.057694,2.045765,0,0,0,0
