UniqueCount	AmbigCount
27	0
607	0
0	726
643	726
120	0
2	1016
1	1016
0	0
24	0
27	0
27	0
51	0
0	0
0	0
0	0
0	0
14	0
25	0
6	0
0	0
0	254
0	254
136	0
0	6
0	6
13	0
93	595
0	595
0	261
6	9
2	9
778	0
91	0
7	121
0	90
0	115
0	114
0	108
77	0
35	0
166	0
27	50
0	50
0	0
3	18
0	18
33	0
352	0
19	0
151	0
10	0
3	324
0	319
0	319
0	283
0	275
0	1235
0	1285
0	1216
0	1217
0	1258
0	1259
0	1285
0	1209
0	1167
0	1235
0	1193
0	1259
0	1217
0	1243
0	1209
0	1167
0	1193
0	1243
0	69
0	69
20	0
126	0
4	78
2	78
334	950
37	1499
45	1499
4344	1337
0	1337
0	1000
2	1000
0	786
0	886
0	886
0	562
0	0
0	0
20788	0
16824	0
0	8689
6	8689
44	21845
16	21845
171	0
186	0
85	0
15542	0
0	2091
0	2097
0	1112
0	808
180	0
1684	0
0	0
0	0
0	25
0	25
170	0
3	0
0	43
0	38
0	46
0	41
54	0
18	65
2	65
0	61
2	61
2	63
0	63
267	0
34	1013
0	1013
37	788
3	793
1	793
61	958
0	958
190	28
0	1031
0	1031
132	0
0	2600
0	2600
210	0
276	0
0	652
0	488
10	624
0	410
283	689
0	689
2	986
0	986
29	903
6	305
0	305
236	0
0	672
0	672
1	0
6	664
0	664
140	619
10	619
432	0
0	820
0	820
15	850
0	426
0	426
0	148
21	148
853	0
0	809
0	809
0	779
0	543
0	478
0	399
93	0
5	564
0	564
109	0
37	193
0	193
0	0
160	0
0	1097
4	1078
81	1050
26	1025
20	2186
27	2186
0	105
0	107
0	106
0	307
0	138
0	310
0	310
0	309
0	244
0	247
0	246
0	247
3	142
24	142
1550	0
790	0
0	3104
7	3104
11	1592
2205	0
1004	0
450	0
74	314
0	314
316	0
8	115
0	115
0	5459
0	5460
0	5632
0	5633
0	5114
1	337
0	5429
551	0
106	0
56	892
0	892
300	0
0	2053
4	2053
0	1070
0	1591
23	1570
0	1355
40	1575
20	1518
0	1900
0	1900
0	1881
0	1881
7055	0
0	0
3504	10224
0	10224
281	0
757	1111
103	1111
0	0
0	33
0	33
0	2
652	0
125	0
0	0
0	0
5	0
1	14
3	14
0	14
5	0
928	0
185	919
50	878
0	900
0	538
68	1240
25	1300
0	1300
0	1216
0	266
0	1221
0	1138
0	1067
1450	5955
0	5955
126	0
32	77
0	77
1174	0
194	210
0	210
0	152
0	101
806	0
3	0
2102	147947
1436	8547
9435	0
2	0
22560	112432
19	34116
0	34116
2625	27460
4	22647
0	22647
0	33016
0	33016
23677	0
32275	0
176	0
1192	0
0	0
0	5
0	5
1	5
0	0
42253	0
16662	0
5	0
2991	0
45	0
5	0
0	10
0	10
733	0
85	201
0	201
13371	0
14880	0
1	0
0	0
0	0
60	0
889	0
0	0
18	0
1063	0
4688	0
152	0
1231	8547
21931	0
26	0
3130	0
210	0
101	0
225	477
36692	0
0	1
0	1
53847	10495
2	0
24	0
869	0
26286	0
0	0
3691	0
20411	0
27581	0
36	19
4	0
6	0
2	3
0	3
5	0
229	5105
0	5105
507	0
5909	0
2673	0
5392	43911
31696	24477
3122	46587
360	0
503	0
405	21992
0	21992
14818	0
0	567
0	545
0	532
0	583
0	531
0	547
0	548
0	496
0	512
0	546
0	511
0	562
0	527
0	510
0	475
0	526
0	491
14	5528
0	5528
0	0
13879	0
16699	0
34	0
17884	0
21336	0
3	0
13238	0
5108	0
682	2189
0	2189
139	1081
46	1081
0	0
789	0
4	0
2543	147946
555	2096
0	2096
19738	2
4969	0
10	0
34762	0
10	0
0	34645
58	34645
47117	8868
1818	0
1020	0
806	31794
0	31794
1	31793
9961	0
319	0
14	0
13649	0
28	149
0	149
725	0
37314	0
28388	0
37848	0
403	0
9752	4
6643	4
18258	115142
9531	7372
6092	10458
19617	10458
8	0
15559	0
1023	0
1	0
137	0
483	0
4574	7610
3611	7312
2753	0
4031	346
30	0
19974	7804
6	40216
0	40370
0	40379
10643	5325
6991	5325
2	0
4	0
3	0
26	98867
0	98843
0	98867
0	104605
65	104605
7485	76047
10985	32685
4064	63240
0	0
68	251
0	251
0	213
1815	0
390	0
20338	0
12306	0
73	0
15556	9244
3326	9244
9167	11
21	30407
0	30407
1035	0
0	0
0	19481
10	19481
0	19481
0	0
5	251
0	251
7	0
1365	0
72	533
49	533
0	674
1	674
0	256
0	360
420	0
1988	0
1404	0
3189	0
41	1079
1	926
0	1124
0	1124
0	813
932	0
687	0
2350	0
0	1644
9	1644
0	1512
0	1512
236	0
45	46516
0	41843
0	40245
0	4731
9	4731
2	4731
0	830
1	830
0	490
17710	0
3452	0
19285	0
1	0
873	0
26132	0
38820	0
101	21934
0	21912
8	20536
2484	0
7	9588
0	6913
0	9556
0	6779
9878	0
421	0
4	643
6	600
4	627
23	629
0	636
1	506
31	584
0	1923
0	1923
593	0
2662	0
121	0
690	0
0	478
20	478
0	529
0	529
0	5835
11	5726
0	5835
0	5831
0	5835
0	97208
0	97208
131	0
1077	0
0	1302
0	1288
51	1364
0	1326
1477	0
8	1791
0	1791
1634	0
1519	0
1553	0
75	1391
21	1391
7	8
0	8
0	6
0	29
0	20
0	29
0	10
1	10
14008	0
32723	0
0	2667
0	2668
0	3639
0	3640
0	762
1	747
83	610
0	822
0	799
37170	0
160	1787
0	1787
2389	0
2446	0
0	3059
0	2943
0	2943
0	2727
0	2611
0	4033
1	4033
2	4123
24	3731
0	1594
0	820
1323	0
1311	0
2	154
0	154
13	3454
0	3454
361	0
0	524
0	524
0	512
0	512
4	448
0	532
0	532
0	523
0	523
4	0
0	114
0	114
21	913
0	913
0	912
85	303
2	303
351	0
2	0
0	0
0	0
41	0
736	0
8	6
0	3318
0	3331
13	3332
0	3320
588	295
0	1309
0	1309
1	3668
0	3668
0	3582
16322	0
0	220
9	220
82	1467
8	1467
0	1147
39	1147
67	2066
4	2066
0	2783
0	2783
0	1785
0	1785
36	1535
9608	0
1441	0
14400	12
1068	0
0	33961
310	33961
4	9201
4	9201
0	48945
36	48945
0	465
0	491
6	433
760	0
0	335
140	335
819	0
422	700
0	700
3	2001
0	2001
0	691
0	1094
0	1127
0	1010
0	1993
0	1993
806	0
89	1109
3	1109
0	3071
0	3074
0	2954
0	2957
20	2941
0	3022
0	3025
17	119
0	119
2337	0
19	478
1	478
0	1268
0	1323
3	1189
0	1261
0	1316
0	1227
0	1202
0	835
0	586
0	519
0	508
0	498
0	509
0	512
0	524
0	486
0	486
0	496
0	241
0	685
0	685
0	365
0	448
0	436
1	670
1005	0
379	0
292	0
389	0
5	207
0	207
31	0
0	19
0	19
0	18
0	847
0	806
34	825
7	806
0	489
1	489
0	2646
0	2622
0	2646
0	2628
0	2604
66	2310
0	2877
0	2949
0	3058
0	3130
0	2755
0	2343
0	2777
0	1970
0	2443
0	2480
0	2473
0	2312
0	2364
2037	0
18	356
0	356
4	312
0	328
0	328
0	85988
22	86017
9	86028
0	86027
722	0
281	0
2380	0
0	15325
47	15325
1939	0
3614	0
0	13856
0	13879
0	10486
0	10509
68	0
2443	0
104	0
3307	0
10	279
0	279
1193	0
46	1631
0	1650
0	1622
0	1894
1	1894
931	353
0	353
3866	0
0	5979
0	2871
0	5697
0	5815
0	5526
0	2573
0	2044
0	2333
0	104
0	104
0	104
0	136
0	136
0	67
0	67
0	67
0	31
0	31
47	151
0	151
0	339
0	338
0	278
0	277
0	314
112	1425
0	355
0	443
0	1337
0	1337
0	1425
20	0
174	1256
0	1256
0	9444
0	9448
0	8931
0	920
0	920
0	920
925	0
932	0
0	272
0	169
1	272
0	272
0	2524
0	2524
5	2352
3	1577
282	0
1201	0
2993	0
181	0
0	121
0	112
0	112
0	121
1237	0
57	597
0	592
0	596
0	597
1383	0
2460	0
908	0
74	0
130	0
0	121
0	121
0	844
2	844
999	0
518	0
907	0
0	2712
0	2712
7	686
0	686
0	2584
0	2584
6995	0
89	0
775	0
8046	0
788	0
1027	0
1	688
10	688
0	1036
0	1036
0	1032
0	1007
0	3285
0	3547
0	3547
0	3253
1	3253
2	1874
74	26578
0	26578
0	2740
8	2740
1131	0
0	12677
0	12458
31	12677
1496	703
0	703
0	655
0	2986
0	2986
0	3095
0	3095
0	2327
0	2253
0	1145
0	2324
0	2250
990	0
20	3359
10	3370
0	3043
21	3338
1	3327
0	2190
0	2190
0	1662
1	1662
0	570
1141	180
254	0
0	350
0	350
0	3593
0	3593
0	3386
0	3386
0	3578
0	3578
0	3212
0	3212
3162	0
55	1512
0	1512
1541	0
171	1758
128	1758
4917	0
0	8842
8	8842
0	6326
4	6326
3	657
184	657
195	450
0	450
0	1776
3	1776
12	1776
938	0
0	404
0	404
0	9589
1	9589
1797	8582
81	8582
911	0
1236	0
1202	0
915	0
0	1556
0	1556
0	1200
5	1448
0	1126
137	0
1098	1141
0	1141
713	0
0	4843
0	4843
0	7874
0	7874
434	568
0	568
1104	0
0	460
0	460
1286	0
13	39
0	39
0	36
4	127
0	136
0	136
0	129
0	301
8	295
0	297
0	913
4	913
19	3994
120	3994
7	2380
0	2380
0	3700
0	3495
0	3699
0	3494
0	1277
0	1280
0	1092
0	1095
0	1181
0	687
0	687
0	220
0	1190
0	1190
0	0
28	190
2	195
0	182
6734	0
5946	0
41430	0
51140	0
2534	0
7365	0
7200	0
3719	2999
0	2999
6483	70
8	10299
3	10299
40380	0
26	0
248	0
6295	0
223	0
356	0
639	272
0	272
1438	0
11	1565
74	1565
2225	0
1289	0
1257	0
0	3482
33	3482
0	3262
19	3262
201	1082
0	1082
601	0
0	2618
0	2328
0	2618
0	2734
0	2444
0	2734
0	9955
0	9955
482	0
4	0
4294	0
0	682
0	601
0	587
0	444
0	506
0	539
847	0
1	0
8	0
1	13
0	11
0	13
0	0
5	0
0	0
30	0
524	0
118	742
0	742
0	634
0	3385
28	3812
0	3069
5	296
0	272
0	271
0	3539
1	1095
8	860
0	855
0	2796
0	134
7	106
0	123
0	166
1	224
0	135
4	176
0	279
28	164
0	164
0	4
20	421
1	453
0	453
0	51
0	51
0	51
26	62
0	59
0	62
0	145
0	164
0	164
0	8
18	8
2	35
0	6
0	29
0	29
124	0
30	0
0	10
0	10
21	1400
280	1400
0	3053
5	495
0	2991
0	2871
0	1792
0	470
0	493
0	415
0	3048
0	2986
0	2866
264	7402
353	7790
0	7046
309	7929
4	7825
33	0
2622	0
2	120
0	120
0	59
0	59
1722	33054
0	33054
0	654
0	657
0	602
0	605
0	16
1	162
81	1327
0	1336
0	986
9033	0
110	0
6	1374
0	1374
5	1203
9	1080
5	383
0	383
0	3183
21	3183
2617	0
0	35262
5	35262
5354	0
480	0
175	0
6	553
2	503
0	437
37	1651
43	1651
638	0
0	244
9	178
1	185
40	238
370	0
87	0
125	0
1	5118
3	5118
0	180636
0	180975
0	180670
0	180289
1	179526
0	180594
0	180289
0	180216
0	415243
0	414047
74	415243
0	43409
0	38198
0	38194
0	42690
0	8491
5	8491
0	39959
0	39725
0	34514
0	39006
0	34510
8	0
9	59
0	59
4	58
3	4040
0	4037
0	3932
0	7907
0	7345
0	7690
0	7128
0	7720
0	7720
0	7158
0	2172
0	7698
0	7136
0	5721
0	5159
0	6087
0	7272
0	5525
0	7654
0	7092
13	54
0	61
0	42
1	43
0	43
0	2412
0	2388
4	800
0	2435
0	2459
0	2389
0	2413
0	2342
0	2366
0	2332
0	2356
0	2285
0	2309
0	2373
0	2397
0	2326
0	2350
0	2327
0	2351
0	2280
0	2304
0	2270
0	2294
0	2223
0	2247
0	745
0	745
0	667
0	363
3	529
0	699
0	699
0	703
1	531
3	531
94	530
3	638
0	638
0	602
0	612
0	511
0	604
2	512
10	443
0	460
0	813
0	820
0	784
0	818
0	789
0	725
0	759
0	752
0	723
0	757
0	728
0	664
0	763
0	754
0	719
0	811
0	800
0	820
0	727
0	763
0	761
0	668
0	666
0	702
0	700
0	607
0	693
0	750
0	582
0	739
0	702
0	759
78	0
67	256
0	256
5	219
0	965
0	1104
0	1084
0	335
172	0
428	4525
0	4490
0	4525
2	186
4	189
0	189
8	188
3	188
0	2272
0	2149
0	1774
0	1935
0	2096
0	2282
0	2275
0	2285
0	2216
0	2226
0	2219
0	2229
0	1764
0	1925
0	2146
0	2156
0	2159
0	2093
0	2103
0	2106
569	4949
7	4765
0	4362
61	0
82	0
5	179
0	118
0	157
0	855
0	892
0	859
0	763
0	885
0	888
0	855
0	888
0	796
0	852
10635	0
39	0
7	10
0	10
1669	13
43	1805
0	159
3	1805
0	0
0	0
0	0
137	1016
0	1016
0	8892
0	8204
0	8892
0	2878
248	11010
1	11010
0	10800
9753	0
6464	0
5840	0
51	5025
0	5024
0	5020
4899	0
5868	1283
0	1283
4377	0
0	4167
4	4167
819	0
780	0
4	0
1078	16508
0	16439
0	15318
0	16356
0	15202
9759	0
3382	0
779	0
0	9732
0	9732
11433	0
259	0
0	240
0	240
0	98
558	0
0	299
0	299
0	292
0	292
0	286
0	273
0	277
0	288
0	105
0	275
723	0
0	1084
4	1084
70	1013
1	856
43	0
0	94
0	94
742	3199
0	1179
0	605
0	2623
0	576
5806	0
0	4762
3	4762
3159	22918
0	22918
1164	0
0	1905
6	1905
16281	0
165	1093
0	1093
1	0
2	0
2164	1653
0	1653
409	374
0	374
0	373
0	373
0	381
0	381
0	373
0	180
0	8181
0	8160
0	8194
0	8170
0	8191
0	8215
58	2346
57	2346
0	3481
0	3502
0	3500
0	3379
0	3414
0	3415
0	3420
0	3415
0	3414
0	3398
0	3381
0	3477
0	2746
0	3529
42	2679
0	3517
0	3469
0	3490
0	3488
0	3367
0	3402
0	3403
0	3403
0	3408
0	3402
0	3386
0	3369
0	3465
0	2734
0	783
3440	0
0	458
0	616
0	333
0	491
171	11725
163	11725
0	2156
0	2156
0	2136
0	2123
0	1919
0	2148
0	2148
0	2128
57	2050
0	1365
0	321
79	235
31	297
213	6433
0	6096
0	5917
0	4465
0	2443
0	7732
35	7732
487	0
0	1763
0	1681
0	1673
0	1782
0	1767
0	1521
0	1439
0	1431
0	1540
0	1592
3	1507
0	1458
0	1376
0	1368
0	1477
0	1462
0	1789
0	1707
0	1699
0	1808
0	1793
0	1790
0	1708
0	1700
0	1809
0	1794
0	1727
0	1645
0	1637
0	1746
0	1731
0	1739
0	1657
0	1649
0	1758
0	1743
0	1505
0	1423
0	1415
0	1524
0	1504
0	1422
0	1414
0	1523
0	1442
0	1360
0	1352
0	1461
0	1290
0	1208
0	1200
0	1309
0	1289
0	1207
0	1199
0	1308
0	1227
0	1145
0	1137
0	1246
0	1619
0	1537
0	1529
0	1638
0	1618
0	1536
0	1528
0	1637
0	1556
0	1474
0	1466
0	1575
0	1714
0	1733
0	582
0	574
0	663
0	581
0	573
0	682
0	633
0	652
0	535
0	527
11	979
59	979
1597	0
357	0
81	0
870	0
0	576
0	576
0	547
732	0
0	1154
3	1154
25	1180
0	1172
3	710
31	0
3	251
0	253
1	253
0	253
0	47
0	47
43682	4207
0	4207
0	112039
210	112039
370	0
4	0
113	66
0	66
1768	0
4	471
0	345
0	266
0	352
5915	0
14729	0
0	34581
9	34581
0	21105
0	14866
0	4867
0	4797
0	2361
0	4848
0	10644
0	10644
0	8331
0	4515
0	3816
6	1898
1870	0
0	16583
6	16585
0	16553
0	15785
2	15389
9	15215
0	13055
9703	0
0	16
7	16
988	196
839	196
0	629
0	557
0	533
0	509
0	413
0	437
0	605
0	485
0	5485
69	5485
5	3923
2264	0
618	0
0	590
0	605
0	576
0	592
1887	34
0	34
0	1436
6	1436
57	233
8	217
0	133
1	778
0	762
0	774
0	26410
118	26410
174	0
0	602
60	602
0	5076
0	5834
1	5834
0	4277
15089	122
98	8108
0	8108
1350	0
0	11550
2	11550
3	11550
8	8248
0	8248
322	0
469	122
0	4
0	3
0	4
3	17
0	17
13	12
1	0
349	0
0	562
0	556
0	556
4	184
0	157
0	351
0	188
0	526
0	520
0	520
0	315
0	549
0	371
0	543
0	543
0	507
0	507
0	196
0	160
0	33
0	64
0	64
0	79
0	79
59	1930
0	1930
0	1152
0	1021
0	55
0	55
1541	0
124	1479
154	1500
0	1344
11	186
64	186
621	0
270	0
0	652
0	652
872	0
300	0
0	409
0	833
10	833
1213	0
264	0
214	371
18	237
1	371
563	248
1	248
474	0
657	1293
0	1293
226	0
713	0
401	0
0	770
0	770
480	0
188	0
232	0
0	274
0	274
82	0
229	0
455	0
36	217
0	217
0	172
0	935
0	935
0	935
3	935
7	0
2	844
0	844
0	761
279	2404
1	2404
224	279
0	279
0	387
76	387
0	361
0	69
2	193
52	193
339	0
74	203
0	179
0	203
15	829
6	829
288	0
62	455
0	455
0	455
0	8111
0	3883
0	3892
284	7942
12	8111
11	1255
0	1263
0	1263
7	1255
206	128
16	241
0	113
55	1860
0	1895
90	1848
0	1714
8	1696
1969	0
0	340
11	332
0	297
0	41
0	41
0	36
2	17
0	35
103	0
0	41
0	42
0	42
0	42
0	1047
4	1047
0	1043
0	955
0	5632
0	5632
0	5551
0	5631
5535	0
899	0
0	208
0	208
0	12138
70	12138
0	16286
0	14661
0	16286
5	10238
51	12021
15	10666
0	10664
1	9712
0	9134
0	10666
0	10225
0	10609
0	561
0	561
56	0
27	0
0	759
8	759
2056	0
1119	0
1614	0
37	0
1664	0
1813	0
181	0
0	1257
0	1298
30	1295
0	1295
2	1245
3	1204
0	1024
2	1289
0	1137
5	1289
0	1024
2	1220
0	1204
0	124
5	123
0	93
12	152
0	155
4	152
0	55
0	98
0	242
0	245
3	242
8200	0
417	0
253	0
0	1619
0	1586
0	1490
2	1611
0	1596
0	1471
0	1463
0	1500
3055	0
5	0
6	0
13	0
10	0
5	0
0	3
0	3
0	10
2	10
23	0
47	0
150	0
109	1952
65	1952
0	0
2	0
32	12
0	2
0	2
92	0
0	33
0	32
0	33
1	0
73	12
0	51
1	51
2	51
31	0
0	1
0	1
1	1
0	1
0	6
0	7
0	7
0	7
33	0
0	35
0	26
0	35
10	0
0	36
3	36
0	14
30	0
35	0
0	13858
3	13858
0	12789
0	3818
0	3958
0	1979
16	1756
14	1789
0	1941
0	1940
824	1312
0	1312
0	784
0	2374
0	2377
0	2516
0	2519
0	2516
0	2543
0	2546
0	2543
0	2385
0	2388
0	2385
0	348
0	351
0	2424
0	2427
16	1224
0	670
20	1208
1332	0
0	9376
6	9376
6	8836
0	1042
0	1042
0	1042
0	1023
0	1023
0	1023
0	1730
1	1730
1	2097
76	2097
182	1
1485	0
0	676
0	676
1119	0
0	1183
0	1176
0	1176
0	1194
1	1149
0	1297
0	1297
0	1315
1	1153
0	1178
0	1171
0	1171
0	1189
0	1534
0	1523
0	1516
0	1516
0	1304
0	1315
38	0
0	56
3	56
1645	0
0	1215
2	1215
0	1088
0	1088
5200	42723
0	2220
0	2147
0	2150
0	2122
0	2049
0	2052
225	0
0	1339
0	1339
7	1438
0	1438
524	0
43	0
0	67
0	68
0	50
0	51
27	0
105	1139
5	1139
0	358
309	0
0	546
0	546
338	0
28	0
208	0
1767	6894
0	6894
47	2083
190	1902
67	2111
4	2083
0	1878
530	1108
54	1108
14688	443
1444	443
865	0
0	2461
0	2461
847	0
1341	101
44	11452
3	11452
0	9814
1	9548
0	8291
1093	0
0	2475
2	2475
108	0
1491	0
56	0
0	48
3	48
5	0
2	148
8	148
184	0
90	103
0	103
0	17
2	17
0	17
0	8
1	8
11	5062
0	5062
365	0
300	0
193	0
176	0
43	0
43	0
264	0
3250	0
0	1984
0	1946
0	1462
0	1303
0	1424
0	1167
0	1129
0	3131
0	3131
0	3124
0	2940
0	2940
0	2933
0	3013
0	3013
0	3006
0	3444
0	3469
0	3337
0	3362
0	2992
0	2278
0	3214
10	4100
0	4100
0	2569
0	7754
2	7754
0	2456
28	2456
0	1865
293	329
0	329
55	449
0	449
2	380
600	0
74	0
2	4
2	4
0	0
0	0
9	0
0	220
0	220
1502	0
228	0
516	0
4038	0
0	2154
3	2154
43	1940
6	1852
0	1940
0	1901
1	76
0	1888
5	1873
0	1728
22	649
0	649
581	0
1737	0
0	2949
0	2949
0	44
0	44
37	0
0	36
16	36
36	0
14	0
8	0
194	0
1	0
8	6
2	6
9	0
0	14
6	14
335	0
0	10
7	10
0	4
3	4
4	0
732	262
0	262
0	244
36	6094
0	6094
0	2884
621	150
0	150
0	64
0	24
0	64
3171	0
0	3416
1	3416
0	26701
0	26701
0	29138
15	29138
0	3064
15	3064
243	0
405	222
1005	222
0	1642
0	1534
0	1656
0	1548
945	0
2156	0
21	0
5284	0
0	1193
0	1271
0	1156
0	1148
0	1078
0	1070
3	0
0	0
6	0
1396	0
113	0
171	0
1134	0
0	2960
0	2960
62	0
74	0
84	566
5	567
0	156
567	0
331	0
31	0
54	0
5	0
1489	0
3849	0
41	0
744	6008
59	6008
38	0
10	0
779	0
1	0
43	0
0	1
0	1
0	27
1	27
0	25
2768	0
30	9145
0	11382
0	9988
20	0
35	0
0	0
0	0
1047	0
112	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
126	53
0	0
0	0
0	0
342	0
828	0
15	6197
0	6197
90	561
0	561
0	508
2348	0
5835	0
9026	0
0	4832
9	4832
26	0
42	0
681	0
0	2892
2	224
0	2679
1820	0
3468	0
1	0
65	0
0	2173
0	2173
61	0
160	0
1780	0
83	0
76	0
61	0
3	0
5	0
25	0
1086	0
0	94
5	94
420	0
70	0
705	0
11	0
0	2528
8	2528
3698	0
782	0
16	0
32	0
15	0
6	0
